Radar 4 can detect point at (114.214584, 24.975417, 10.000000)
Radar 0 can detect point at (111.241250, 24.416250, 101.000000)
Radar 4 can detect point at (114.214584, 24.974584, 12.000000)
Radar 0 can detect point at (111.241250, 24.415417, 102.000000)
Radar 4 can detect point at (114.214584, 24.973750, 8.000000)
Radar 0 can detect point at (111.241250, 24.414584, 111.000000)
Radar 4 can detect point at (114.214584, 24.972917, 12.000000)
Radar 0 can detect point at (111.241250, 24.413750, 100.000000)
Radar 4 can detect point at (114.214584, 24.972084, 16.000000)
Radar 0 can detect point at (111.241250, 24.412917, 104.000000)
Radar 4 can detect point at (114.214584, 24.971250, 15.000000)
Radar 6 can detect point at (111.230417, 22.726250, 137.000000)
Radar 4 can detect point at (114.214584, 24.970417, 14.000000)
Radar 0 can detect point at (111.241250, 24.412084, 89.000000)
Radar 6 can detect point at (111.230417, 22.725417, 172.000000)
Radar 6 can detect point at (111.230417, 22.724584, 169.000000)
Radar 4 can detect point at (114.214584, 24.969584, 18.000000)
Radar 0 can detect point at (111.241250, 24.411250, 66.000000)
Radar 6 can detect point at (111.230417, 22.723750, 179.000000)
Radar 4 can detect point at (114.214584, 24.968750, 22.000000)
Radar 0 can detect point at (111.241250, 24.410417, 62.000000)
Radar 6 can detect point at (111.231250, 22.726250, 133.000000)
Radar 4 can detect point at (114.214584, 24.967917, 25.000000)
Radar 6 can detect point at (111.231250, 22.725417, 165.000000)
Radar 0 can detect point at (111.241250, 24.409584, 87.000000)
Radar 6 can detect point at (111.231250, 22.724584, 162.000000)
Radar 4 can detect point at (114.214584, 24.967084, 27.000000)
Radar 6 can detect point at (111.231250, 22.723750, 166.000000)
Radar 4 can detect point at (114.214584, 24.966250, 27.000000)
Radar 6 can detect point at (111.232084, 22.726250, 122.000000)
Radar 6 can detect point at (111.232084, 22.725417, 127.000000)
Radar 6 can detect point at (111.232084, 22.724584, 123.000000)
Radar 0 can detect point at (111.241250, 24.407084, 94.000000)
Radar 6 can detect point at (111.232084, 22.723750, 149.000000)
Radar 4 can detect point at (114.214584, 24.965417, 26.000000)
Radar 0 can detect point at (111.241250, 24.406250, 104.000000)
Radar 4 can detect point at (114.214584, 24.964584, 26.000000)
Radar 6 can detect point at (111.232917, 22.726250, 91.000000)
