Radar 6 can detect point at (112.043750, 26.050417, 161.000000)
Radar 0 can detect point at (111.237917, 28.518751, 100.000000)
Radar 6 can detect point at (112.043750, 26.049584, 183.000000)
Radar 0 can detect point at (111.237917, 28.517917, 95.000000)
Radar 0 can detect point at (111.237917, 28.517084, 90.000000)
Radar 0 can detect point at (111.237917, 28.516251, 92.000000)
Radar 6 can detect point at (112.043750, 26.048751, 181.000000)
Radar 0 can detect point at (111.238750, 28.518751, 104.000000)
Radar 0 can detect point at (111.238750, 28.517917, 99.000000)
Radar 6 can detect point at (112.043750, 26.047917, 190.000000)
Radar 0 can detect point at (111.238750, 28.517084, 91.000000)
Radar 0 can detect point at (111.238750, 28.516251, 89.000000)
Radar 6 can detect point at (112.043750, 26.047084, 206.000000)
Radar 0 can detect point at (111.239584, 28.518751, 90.000000)
Radar 0 can detect point at (111.239584, 28.517917, 93.000000)
Radar 0 can detect point at (111.239584, 28.517084, 88.000000)
Radar 6 can detect point at (112.043750, 26.046251, 216.000000)
Radar 0 can detect point at (111.239584, 28.516251, 86.000000)
Radar 0 can detect point at (111.240417, 28.518751, 85.000000)
Radar 0 can detect point at (111.240417, 28.517917, 85.000000)
Radar 0 can detect point at (111.240417, 28.517084, 87.000000)
Radar 0 can detect point at (111.240417, 28.516251, 83.000000)
Radar 6 can detect point at (112.044584, 26.052084, 171.000000)
Radar 6 can detect point at (112.044584, 26.051251, 145.000000)
Radar 6 can detect point at (112.044584, 26.050417, 156.000000)
Radar 4 can detect point at (112.351250, 27.506251, 120.000000)
Radar 6 can detect point at (112.044584, 26.049584, 171.000000)
Radar 4 can detect point at (112.351250, 27.505417, 113.000000)
Radar 6 can detect point at (112.044584, 26.048751, 169.000000)
Radar 4 can detect point at (112.351250, 27.504584, 127.000000)
Radar 6 can detect point at (112.044584, 26.047917, 167.000000)
Radar 4 can detect point at (112.351250, 27.503751, 134.000000)
Radar 6 can detect point at (112.044584, 26.047084, 182.000000)
Radar 2 can detect point at (112.395417, 25.347917, 121.000000)
Radar 4 can detect point at (112.351250, 27.502917, 148.000000)
Radar 6 can detect point at (112.044584, 26.046251, 189.000000)
Radar 6 can detect point at (112.044584, 26.042917, 152.000000)
Radar 6 can detect point at (112.045417, 26.052917, 171.000000)
Radar 6 can detect point at (112.045417, 26.052084, 162.000000)
Radar 2 can detect point at (112.395417, 25.342084, 177.000000)
Radar 6 can detect point at (112.045417, 26.051251, 143.000000)
Radar 2 can detect point at (112.395417, 25.341251, 176.000000)
Radar 6 can detect point at (112.045417, 26.050417, 141.000000)
Radar 6 can detect point at (112.045417, 26.049584, 150.000000)
Radar 2 can detect point at (112.395417, 25.340417, 170.000000)
Radar 6 can detect point at (112.045417, 26.048751, 149.000000)
Radar 2 can detect point at (112.395417, 25.339584, 152.000000)
Radar 6 can detect point at (112.045417, 26.047917, 152.000000)
Radar 4 can detect point at (112.352084, 27.507084, 103.000000)
Radar 6 can detect point at (112.045417, 26.047084, 162.000000)
Radar 4 can detect point at (112.352084, 27.506251, 107.000000)
Radar 6 can detect point at (112.045417, 26.046251, 168.000000)
Radar 2 can detect point at (112.395417, 25.337084, 179.000000)
Radar 4 can detect point at (112.352084, 27.505417, 112.000000)
Radar 4 can detect point at (112.352084, 27.504584, 113.000000)
Radar 4 can detect point at (112.352084, 27.502917, 150.000000)
Radar 6 can detect point at (112.045417, 26.042917, 142.000000)
Radar 4 can detect point at (112.352084, 27.502084, 185.000000)
Radar 6 can detect point at (112.046250, 26.053751, 181.000000)
Radar 6 can detect point at (112.046250, 26.052917, 158.000000)
Radar 6 can detect point at (112.046250, 26.052084, 146.000000)
Radar 6 can detect point at (112.046250, 26.051251, 143.000000)
Radar 6 can detect point at (112.046250, 26.050417, 138.000000)
Radar 6 can detect point at (112.046250, 26.049584, 137.000000)
Radar 6 can detect point at (112.046250, 26.048751, 139.000000)
Radar 2 can detect point at (112.395417, 25.323751, 232.000000)
Radar 4 can detect point at (112.352917, 27.506251, 106.000000)
Radar 6 can detect point at (112.046250, 26.047917, 141.000000)
Radar 2 can detect point at (112.395417, 25.322917, 242.000000)
Radar 4 can detect point at (112.352917, 27.505417, 107.000000)
Radar 6 can detect point at (112.046250, 26.047084, 147.000000)
Radar 2 can detect point at (112.395417, 25.322084, 240.000000)
Radar 4 can detect point at (112.352917, 27.504584, 116.000000)
Radar 6 can detect point at (112.046250, 26.046251, 150.000000)
Radar 2 can detect point at (112.395417, 25.321251, 230.000000)
Radar 4 can detect point at (112.352917, 27.503751, 128.000000)
Radar 6 can detect point at (112.046250, 26.045417, 148.000000)
Radar 2 can detect point at (112.395417, 25.320417, 224.000000)
Radar 4 can detect point at (112.352917, 27.502917, 143.000000)
Radar 4 can detect point at (112.352917, 27.502084, 182.000000)
Radar 6 can detect point at (112.046250, 26.042917, 133.000000)
Radar 4 can detect point at (112.352917, 27.501251, 226.000000)
Radar 6 can detect point at (112.046250, 26.042084, 133.000000)
Radar 2 can detect point at (112.395417, 25.317084, 219.000000)
Radar 6 can detect point at (112.046250, 26.041251, 135.000000)
Radar 6 can detect point at (112.047084, 26.053751, 207.000000)
Radar 6 can detect point at (112.047084, 26.052917, 171.000000)
Radar 6 can detect point at (112.047084, 26.052084, 159.000000)
Radar 6 can detect point at (112.047084, 26.051251, 150.000000)
Radar 6 can detect point at (112.047084, 26.050417, 139.000000)
Radar 6 can detect point at (112.047084, 26.049584, 133.000000)
Radar 6 can detect point at (112.047084, 26.048751, 132.000000)
Radar 6 can detect point at (112.047084, 26.047917, 133.000000)
Radar 6 can detect point at (112.047084, 26.047084, 135.000000)
Radar 6 can detect point at (112.047084, 26.046251, 134.000000)
Radar 6 can detect point at (112.047084, 26.045417, 132.000000)
Radar 4 can detect point at (112.353750, 27.507084, 103.000000)
